stateCode,districtName,policeStationName,contactNumber,email
WB,Alipurduar,Alipurduar PS,03564 - 255100,spalipurduar@gmail.com
WB,Alipurduar,Birpara PS,03563 - 266053,
WB,Alipurduar,Falakata PS,03563 - 260242,
WB,Alipurduar,Madarihat PS,03563 - 262223,
WB,Alipurduar,Jaigaon PS,03566 - 263200,
WB,Alipurduar,Kalachini PS,03566 - 240100,
WB,Bankura,Bankura Police Station,03242-250675 /9083269313,spbankura@gmail.com
WB,Bankura,Beliatore Police Station,03241-259700 / 9083269323,
WB,Bankura,Barjora Police Station,03241-257221 / 9083269314,
WB,Bankura,Chhatna Police Station,03241-277222 / 9083269326,
WB,Bankura,Gangajalghati Police Station,9083269322,
WB,Bankura,Onda Police Station,03242-266223 / 9083269321,
WB,Alipurduar,Kumargram PS,03564 - 252224,
WB,Alipurduar,Samuktala PS,03564 - 240300,
WB,Bankura,Mejia Police Station,03241-250237 / 9083269325,
WB,Bankura,Saltora Police Station,03241-273229 / 9083269324,
WB,Bankura,Bishnupur Police Station,03244-252024 /  9083269315,
WB,Bankura,Patrasayer Police Station,03244-266226 / 9083269328,
WB,Bankura,Indus Police Station,03244-263236 /  9083269331,
WB,Bankura,Kotulpur Police Station,03244-240221 /  9083269327,
WB,Bankura,Joypur Police Station,03244-249221 / 9083269330,
WB,Bankura,Sonamukhi Police Station,03244-275229 / 9083269329,
WB,Bankura,Khatra Police Station,03243-255227 / 9083269316,
WB,Bankura,Indpur Police Station,03242-260229 / 9083269335,
WB,Bankura,Raipur Police Station,03243-267228 / 9083269319,
WB,Bankura,Ranibandh Police Station,03243-250230 / 9083269317,
WB,Bankura,Sarenga Police Station,03243-269236 / 9083269318,
WB,Bankura,Simlapal Police Station,03243-263359 / 9083269320,
WB,Bankura,Taldangra Police Station,03243-265201 / 9083269334,
WB,Bankura,Hirbandh Police Station,03243-205144 / 9083269333,
WB,Bankura,Bankura Women P.S.,03243-205144 / 9083269336,
WB,Bankura,Kathra women police station,9083269337,
WB,Purba Bardhaman,Andal police station,0341-2373378  /  9434215320,andalps11@gmail.com
WB,Purba Bardhaman,Ausgram police station,03452-254213 / 9083269920,aushgramps@gmail.com
WB,Purba Bardhaman,Asansol (North) police station,0341-2202549 /  8116604428,aslnps@gmail.com
WB,Purba Bardhaman,Asansol (South) police station,0341-2202225 / 8116604600,southpsasansol@gmail.com
WB,Purba Bardhaman,Asansol Police Control,0341-2203287,
WB,Purba Bardhaman,Asansol Police Office,0341-2202640,
WB,Purba Bardhaman,Asansol GRP police station,0341-2202574,
WB,Purba Bardhaman,Warai (phanri) police station,0343-2583779,
WB,Purba Bardhaman,Katwa police station,03453-255023 /  9083269933,sanjibghosh118@gmail.com
WB,Bankura,Barikul Police Station,9083269332,
WB,Purba Bardhaman,Kalna police station,03454-255040 / 9083269935,kalnapolice@gmail.com
WB,Purba Bardhaman,Kanksa police station,0343-2524244,
WB,Purba Bardhaman,Ketugram police station,03453-272224 /  9083269922,ketugrampolice@gmail.com
WB,Purba Bardhaman,Kulti police station,0341-2515555,
