"Slno","SectionNo","Type","Title"
"1","1","IPC","Title and extent of operation of the Code"
"2","2","IPC","Punishment of offences committed within India"
"3","3","IPC","Punishment of offences committed beyond but which by law may be tried within India"
"4","4","IPC","Extension of Code to extra-territorial offences"
"5","5","IPC","Certain laws not to be affected by this Act"
"6","6","IPC","Definitions in the Code to be understood subject to exceptions"
"7","7","IPC","Sense of expression once explained"
"8","8","IPC","Gender"
"9","9","IPC","Number"
"10","10","IPC","Man, Woman"
"11","11","IPC","Person"
"12","12","IPC","Public"
"13","13","IPC","[Titled Queen repealed by the Govt. of India (Adaptation of Indian Laws) Order,  1950]"
"14","14","IPC","Servant of Government"
"15","15","IPC","[Titled British India repealed by the Govt. of India (Adaptation of Indian Laws) Order,  1937]"
"16","16","IPC","[Titled Government of India repealed by the Govt. of India (Adaptation of Indian Laws) Order,  1937]"
"17","17","IPC","Government"
"18","18","IPC","India"
"19","19","IPC","Judge"
"20","20","IPC","Court of Justice"
"21","21","IPC","Public Servant"
"22","22","IPC","Movable property"
"23","23","IPC","Wrongful gain"
"24","24","IPC","Dishonestly"
"25","25","IPC","Fraudulently"
"26","26","IPC","Reason to believe"
"27","27","IPC","Property in possession of wife, clerk or servant"
"28","28","IPC","Counterfeit"
"29","29","IPC","Document"
"30","29A ","IPC",""
"31","30","IPC","Valuable security"
"32","31","IPC","A will"
"33","32","IPC","Words referring to acts include illegal omissions"
"34","33","IPC","Act, Omission"
"35","34","IPC","Acts done by several persons in furtherance of common intention"
"36","35","IPC","When such an act is criminal by reason of its being done with a criminal knowledge or intention"
"37","36","IPC","Effect caused partly by act and partly by omission"
"38","37","IPC","Co-operation by doing one of several acts constituting an offence"
"39","38","IPC","Persons concerned in criminal act may be guilty of different offences"
"40","39","IPC","Voluntarily"
"41","40","IPC","Offence"
"42","41","IPC","Special law"
"43","42","IPC","Local law"
"44","43","IPC","Illegal, Legally bound to do"
"45","44","IPC","Injury"
"46","45","IPC","Life"
"47","46","IPC","Death"
"48","47","IPC","Animal"
"49","48","IPC","Vessel"
"50","49","IPC","Year, Month"
"51","50","IPC","Section"
"52","51","IPC","Oath"
"53","52","IPC","Good faith"
"54","52A ","IPC","Harbor"
"55","53","IPC","Punishment"
"56","53A ","IPC","Construction of reference to transportation"
"57","54","IPC","Commutation of sentence of death"
"58","55","IPC","Commutation of sentence of imprisonment for life"
"59","55A ","IPC","Definition of appropriate Government"
"60","56","IPC","[Titled Sentence of Europeans and Americans to penal servitude, proviso as to sentence for term exceeding ten years but not for life repealed by the Criminal Law (Removal of Racial Discriminations) Act, 1949, w.e.f. 6th. April, 1949]"
"61","57","IPC","Fractions of terms of punishment"
"62","58","IPC","[Titled Offenders sentenced to transportation how dealt with until transported repealed by the Code of Criminal Procedure (Amendment) Act, 1955, w.e.f. 1st. January, 1956]"
"63","59","IPC","[Titled Transportation instead of imprisonment repealed by the Code of Criminal Procedure (Amendment) Act, 1955, w.e.f. 1st. January, 1956]"
"64","60","IPC","Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple"
"65","61","IPC","[Titled Sentence of forfeiture of property repealed by the Indian Penal Code (Amendment) Act, 1921]"
"66","62","IPC","[Titled Forfeiture of property in respect of offenders punishable with death, transportation or imprisonment repealed by the Indian Penal Code (Amendment) Act, 1921]"
"67","63","IPC","Amount of fine"
"68","64","IPC","Sentence of imprisonment for non-payment of fine"
"69","65","IPC","Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable"
"70","66","IPC","Description of imprisonment for non-payment of fine"
"71","67","IPC","Imprisonment for non-payment of fine, when offence punishable with fine only"
"72","68","IPC","Imprisonment to terminate on payment of fine"
"73","69","IPC","Termination of imprisonment on payment of proportional part of fine"
"74","70","IPC","Fine leviable within six years or during imprisonment-Death not to discharge property from liability"
"75","71","IPC","Limit of punishment of offence made up of several offences"
"76","72","IPC","Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which"
"77","73","IPC","Solitary confinement"
"78","74","IPC","Limit of solitary confinement"
"79","75","IPC","Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction"
"80","76","IPC","Act done by a person bound, or by mistake of fact believing himself bound, by law"
"81","77","IPC","Act of Judge when acting judicially"
"82","78","IPC","Act done pursuant to the judgment or order of Court"
"83","79","IPC","Act done by a person justified, or by mistake of fact believing himself justified, by law"
"84","80","IPC","Accident in doing a lawful act"
"85","81","IPC","Act likely to cause harm, but done without criminal intent, and to prevent other harm"
"86","82","IPC","Act of a child under seven years of age"
"87","83","IPC","Act of a child above seven and under twelve of immature understanding"
"88","84","IPC","Act of a person of-unsound mind"
"89","85","IPC","Act of a person incapable of judgment by reason of intoxication caused against his will"
"90","86","IPC","Offence requiring a particular intent or knowledge committed by one who is intoxicated"
"91","87","IPC","Act not intended and not known to be likely to cause death or grievous hurt, done by consent"
"92","88","IPC","Act not intended to cause death, done by consent in good faith for person's benefit"
"93","89","IPC","Act done in good faith for benefit of child or insane person, by or by consent of guardian"
"94","90","IPC","Consent known to be given under fear or misconception"
"95","91","IPC","Exclusion of acts which are offences independently of harm caused"
"96","92","IPC","Act done in good faith for benefit of a person without consent"
"97","93","IPC","Communication made in good faith"
"98","94","IPC","Act to which a person is compelled by threats"
"99","95","IPC","Act causing slight harm"
"100","96","IPC","Things done in private defense"
"101","97","IPC","Right of private defense of the body and of property"
"102","98","IPC","Right of private defense against the act of a person of unsound mind, etc."
"103","99","IPC","Acts against which there is no right of private defense"
"104","100","IPC","When the right of private defense of the body extends to causing death"
"105","101","IPC","When such right extends to causing any harm other than death"
"106","102","IPC","Commencement and continuance of the right of private defense of the body"
"107","103","IPC","When the right of private defense of property extends to causing death"
"108","104","IPC","When such right extends to causing any harm other than death"
"109","105","IPC","Commencement and continuance of the right of private defense of property"
"110","106","IPC","Right of private defense against deadly assault when there is risk of harm to innocent person"
"111","107","IPC","Abetment of a thing"
"112","108","IPC","Abettor"
"113","108A ","IPC","Abetment in India of offences outside India"
"114","109","IPC","Punishment of abetment if the act abetted is committed in consequence, and where no express provision is made for its punishment"
"115","110","IPC","Punishment of abetment if person abetted does act with different intention from that of abettor"
"116","111","IPC","Liability of abettor when one act abetted and different act done"
"117","112","IPC","Abettor when liable to cumulative punishment for act abetted and for act done"
"118","113","IPC","Liability of abettor for an effect caused by the act abetted different from that intended by the abettor"
"119","114","IPC","Abettor present when offence is committed"
"120","115","IPC","Abetment of offence punishable with death or imprisonment for life-if offence not committed"
"121","116","IPC","Abetment of offence punishable with imprisonment-if offence be not committed"
"122","117","IPC","Abetting commission of offence by the public or by more than ten persons"
"123","118","IPC","Concealing design to commit offence punishable with death or imprisonment for life"
"124","119","IPC","Public servant concealing design to commit offence which it is his duty to prevent"
"125","120","IPC","Concealing design to commit offence punishable with imprisonment"
"126","120A ","IPC","Definition of criminal conspiracy"
"127","120B ","IPC","Punishment of criminal conspiracy"
"128","121","IPC","Waging, or attempting to wage war, or abetting waging of war, against the Government of India"
"129","121A ","IPC","Conspiracy to commit offences punishable by section 121"
"130","122","IPC","Collecting arms, etc., with intention of waging war against the Government of India"
"131","123","IPC","Concealing with intent to facilitate design to wage war"
"132","124","IPC","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power"
"133","124A ","IPC","Sedition"
"134","125","IPC","Waging war against any Asiatic Power in alliance with the Government of India"
"135","126","IPC","Committing depredation on territories of Power at peace with the Government of India"
"136","127","IPC","Receiving property taken by war on depredation mentioned in sections 125 and 126-"
"137","128","IPC","Public servant voluntarily allowing prisoner of State or war to escape"
"138","129","IPC","Public servant negligently suffering such prisoner to escape"
"139","130","IPC","Aiding escape of, rescuing or harboring such prisoner"
"140","131","IPC","Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty"
"141","132","IPC","Abetment of mutiny, if mutiny is committed in consequence thereof"
"142","133","IPC","Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office"
"143","134","IPC","Abetment of such assault, if the assault is committed"
"144","135","IPC","Abetment of desertion of soldier, sailor or airman"
"145","136","IPC","Harboring deserter"
"146","137","IPC","Deserter concealed on board merchant vessel through negligence of master"
"147","138","IPC","Abetment of act of insubordination by soldier, sailor or airman"
"148","138A ","IPC","[Titled Application of foregoing sections to the Indian Marine Service repealed by the Amending Act, 1934 (35 of 1934)]"
"149","139","IPC","Persons subject to certain Acts"
"150","140","IPC","Wearing garb or carrying token used by soldier, sailor or airman"
"151","141","IPC","Unlawful assembly"
"152","142","IPC","Being member of unlawful assembly"
"153","143","IPC","Punishment"
"154","144","IPC","Joining unlawful assembly armed with deadly weapon"
"155","145","IPC","Joining or continuing in unlawful assembly, knowing it has been commanded to disperse"
"156","146","IPC","Rioting"
"157","147","IPC","Punishment for rioting"
"158","148","IPC","Rioting, armed with deadly weapon"
"159","149","IPC","Every member of unlawful assembly guilty of offence committed in prosecution of common object"
"160","150","IPC","Hiring, or conniving at hiring, of persons to join unlawful assembly"
"161","151","IPC","Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse"
"162","152","IPC","Assaulting or obstructing public servant when suppressing riot, etc."
"163","153","IPC","Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed"
"164","153A ","IPC","Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony"
"165","153AA ","IPC",""
"166","153B ","IPC","Imputations, assertions prejudicial to national-integration"
"167","154","IPC","Owner or occupier of land on which an unlawful assembly is held"
"168","155","IPC","Liability of person for whose benefit riot is committed"
"169","156","IPC","Liability of agent of owner or occupier for whose benefit riot is committed"
"170","157","IPC","Harboring persons hired for an unlawful assembly"
"171","158","IPC","Being hired to take part in an unlawful assembly or riot"
"172","159","IPC","Affray"
"173","160","IPC","Punishment for committing affray"
"174","161","IPC","[To 165A. repealed by the Prevention of Corruption Act, 1988 (49 of 1988)]"
"175","162","IPC",""
"176","163","IPC",""
"177","164","IPC",""
"178","165","IPC",""
"179","165A ","IPC",""
"180","166","IPC","Public servant disobeying law, with intent to cause injury to any person"
"181","166A ","IPC",""
"182","166B ","IPC",""
"183","167","IPC","Public servant framing an incorrect document with intent to cause injury"
"184","168","IPC","Public servant unlawfully engaging in trade"
"185","169","IPC","Public servant unlawfully buying or bidding for property"
"186","170","IPC","Personating a public servant"
"187","171","IPC","Wearing garb or carrying token used by public servant with fraudulent intent"
"188","171A ","IPC","Candidate, Electoral right defined"
"189","171B ","IPC","Bribery"
"190","171C ","IPC","Undue influence at elections"
"191","171D ","IPC","Personation at elections"
"192","171E ","IPC","Punishment for bribery"
"193","171F ","IPC","Punishment for undue influence or personation at an election"
"194","171G ","IPC","False statement in connection with an election"
"195","171H ","IPC","Illegal payments in connection with an election"
"196","171I ","IPC","Failure to keep election accounts"
"197","172","IPC","Absconding to avoid service of summons or other proceeding"
"198","173","IPC","Preventing service of summons or other proceeding, or preventing publication thereof"
"199","174","IPC","Non-attendance in obedience to an order from public servant"
"200","174A ","IPC",""
"201","175","IPC","Omission to produce document to public servant by person legally bound to produce it"
"202","176","IPC","Omission to give notice or information to public servant by person legally bound to give it"
"203","177","IPC","Furnishing false information"
"204","178","IPC","Refusing oath or affirmation when duly required by public servant to make it"
"205","179","IPC","Refusing to answer public servant authorized to question"
"206","180","IPC","Refusing to sign statement"
"207","181","IPC","False statement on oath or affirmation to public servant or person authorized to administer an oath or affirmation"
"208","182","IPC","False information, with intent to cause public servant to use his lawful power to the injury of another person"
"209","183","IPC","Resistance to the taking of property by the lawful authority of a public servant"
"210","184","IPC","Obstructing sale of property offered for sale by authority of public servant"
